configuration,true_pos,false_pos,false_neg,true_neg,precision,sensitivity,f1
dataset_000153-model_000003,30,79,4,20,0.27522935779816515,0.8823529411764706,0.4195804195804196
dataset_000153-model_000004,17,46,17,53,0.2698412698412698,0.5,0.3505154639175258
dataset_000154-model_000001,13,39,21,60,0.25,0.38235294117647056,0.3023255813953488
dataset_000154-model_000002,18,46,16,53,0.28125,0.5294117647058824,0.3673469387755102
dataset_000154-model_000003,32,66,2,33,0.32653061224489793,0.9411764705882353,0.48484848484848486
dataset_000154-model_000004,17,59,17,40,0.2236842105263158,0.5,0.3090909090909091
dataset_000155-model_000001,19,44,15,55,0.30158730158730157,0.5588235294117647,0.39175257731958757
dataset_000155-model_000002,15,50,19,49,0.23076923076923078,0.4411764705882353,0.303030303030303
dataset_000155-model_000003,33,70,1,29,0.32038834951456313,0.9705882352941176,0.4817518248175183
dataset_000155-model_000004,14,43,20,56,0.24561403508771928,0.4117647058823529,0.3076923076923077
dataset_000156-model_000001,8,32,26,67,0.2,0.23529411764705882,0.2162162162162162
dataset_000156-model_000002,20,48,14,51,0.29411764705882354,0.5882352941176471,0.3921568627450981
dataset_000156-model_000003,29,74,5,25,0.2815533980582524,0.8529411764705882,0.4233576642335766
dataset_000156-model_000004,19,47,15,52,0.2878787878787879,0.5588235294117647,0.38000000000000006
dataset_000157-model_000001,15,45,19,54,0.25,0.4411764705882353,0.3191489361702128
dataset_000157-model_000002,15,46,19,53,0.2459016393442623,0.4411764705882353,0.3157894736842105
dataset_000157-model_000003,30,64,4,35,0.3191489361702128,0.8823529411764706,0.46875
dataset_000157-model_000004,15,60,19,39,0.2,0.4411764705882353,0.27522935779816515
dataset_000158-model_000001,11,32,23,67,0.2558139534883721,0.3235294117647059,0.28571428571428575
dataset_000158-model_000002,22,48,12,51,0.3142857142857143,0.6470588235294118,0.4230769230769231
dataset_000158-model_000003,28,70,6,29,0.2857142857142857,0.8235294117647058,0.42424242424242414
dataset_000158-model_000004,20,50,14,49,0.2857142857142857,0.5882352941176471,0.3846153846153846
dataset_000159-model_000001,13,34,21,65,0.2765957446808511,0.38235294117647056,0.3209876543209876
dataset_000159-model_000002,20,57,14,42,0.2597402597402597,0.5882352941176471,0.36036036036036034
dataset_000159-model_000003,29,70,5,29,0.29292929292929293,0.8529411764705882,0.43609022556390975
dataset_000159-model_000004,19,48,15,51,0.2835820895522388,0.5588235294117647,0.37623762376237624
dataset_000160-model_000001,10,44,24,55,0.18518518518518517,0.29411764705882354,0.22727272727272727
dataset_000160-model_000002,21,45,13,54,0.3181818181818182,0.6176470588235294,0.42000000000000004
dataset_000160-model_000003,28,61,6,38,0.3146067415730337,0.8235294117647058,0.45528455284552843
dataset_000160-model_000004,16,47,18,52,0.25396825396825395,0.47058823529411764,0.32989690721649484
